Food_Code,Display_Name,Portion_Default,Portion_Amount,Portion_Display_Name,Calories
56207110,"Bulgur, no fat added",1,0.5,"cup, cooked",56.0
56207150,"Couscous, no fat added",1,0.5,"cup, cooked",87.0
62125100,Raisins,2,1.0,Tablespoon,27.0
72116000,Romaine lettuce,2,1.0,medium leaf,2.0
82101000,"Vegetable oil (canola, corn, olive, etc)",2,1.0,Teaspoon,40.0
12210410,Coffee Mate Lite  (powder),1,1.0,packet,12.93
12220200,Cool Whip,1,0.25,cup,59.625
12220250,Lowfat Cool Whip,1,0.25,cup,41.25
12310100,Sour cream,1,2.0,Tablespoons,61.525
14107030,Mozzarella cheese (part skim),2,0.25,cup shredded,85.315
14107030,Mozzarella cheese (part skim),2,1.0,cubic inch,53.152
14107030,Mozzarella cheese (part skim),2,1.0,string cheese stick,84.56
14108010,Parmesan or Romano cheese,1,1.0,tablespoon,21.55
14109030,Low fat cheddar or Swiss,1,1.0,slice (slice = 1 oz),50.0
91501010,Jello,2,0.5,cup,74.4
91501020,Jello with fruit,1,0.5,cup,78.0
91511010,Sugar-free Jello (diet),1,1.0,snack-size package (3.5 oz),3.96
91511010,Sugar-free Jello (diet),2,0.5,cup,4.8
91511020,Sugar-free Jello with fruit (diet),1,0.5,cup,39.6
91601000,Fruit ice (Italian fruit ice),1,0.5,cup,123.52
91705010,Milk chocolate bar or candy (plain),2,1.0,Big Block bar (2.2 oz),331.7
91705010,Milk chocolate bar or candy (plain),2,1.0,solid egg,29.425
91705010,Milk chocolate bar or candy (plain),2,1.0,miniature bar (.5 oz),74.9
91705010,Milk chocolate bar or candy (plain),2,1.0,hollow piece (4.6 oz),706.2
91705020,Krackel or Crunch Bar,1,1.0,bar (1.2 oz),168.64
91705020,Krackel or Crunch Bar,2,1.0,Big Block bar (2.2 oz),307.52
91705020,Krackel or Crunch Bar,2,1.0,solid egg,34.72
91705020,Krackel or Crunch Bar,2,1.0,miniature bar (.5 oz),69.44
91705050,Milk chocolate fruit & nut bar,1,1.0,bar (1.2 oz),150.48
91705050,Milk chocolate fruit & nut bar,2,0.25,large (6 oz) bar,193.8
91705050,Milk chocolate fruit & nut bar,2,1.0,piece,50.16
91705060,Milk chocolate bar with almonds,1,1.0,bar (1.45 oz),215.66
91705060,Milk chocolate bar with almonds,2,1.0,Big Block bar (2.2 oz),326.12
91705060,Milk chocolate bar with almonds,2,1.0,miniature bar (.5 oz),73.64
91705200,Chocolate chips,1,0.25,cup,201.18
91705200,Chocolate chips,2,20.0,morsels,47.9
91705300,Dark chocolate candy bar,1,1.0,bar (1.45 oz),207.05
91705300,Dark chocolate candy bar,2,0.25,large bar (4 oz),142.6625
91705300,Dark chocolate candy bar,2,1.0,bar (2.2 oz),313.1
91706000,"Coconut candy, chocolate-covered",1,1.0,bar (1.75 oz),243.0
91706000,"Coconut candy, chocolate-covered",2,1.0,fun size bar,97.2
91706000,"Coconut candy, chocolate-covered",2,1.0,small egg (1 oz),136.08
91707010,Chocolate-covered candy,1,1.0,butter cream,73.2
91707010,Chocolate-covered candy,2,1.0,cherry,51.24
91707010,Chocolate-covered candy,2,1.0,Cadbury egg (1 oz),106.14
91707010,Chocolate-covered candy,2,1.0,large York pattie,153.72
91707010,Chocolate-covered candy,2,1.0,piece (0.6 oz),62.22
91707010,Chocolate-covered candy,2,1.0,small York pattie,51.972
91708030,Fruit roll-up (fruit snack chews),1,1.0,pouch (1 oz),103.88
91708030,Fruit roll-up (fruit snack chews),2,1.0,3-foot roll,77.91
91715100,Snickers candy bar,1,1.0,bar (2 oz),273.03
91715100,Snickers candy bar,2,1.0,king size bar (4 oz),541.27
91715100,Snickers candy bar,2,1.0,miniature bar (.3 oz),43.11
91718100,Butterfinger candy bar,1,1.0,bar (2.2 oz),290.36
91718100,Butterfinger candy bar,2,0.25,cup Butterfinger BB's,207.06
91718100,Butterfinger candy bar,2,1.0,king size bar (4 oz),514.08
91718100,Butterfinger candy bar,2,1.0,fun size bar (0.6 oz),99.96
91723000,Marshmallows,1,1.0,regular,22.896
91723000,Marshmallows,2,0.25,cup of miniatures,36.57
91723000,Marshmallows,2,1.0,Peep chicken or bunny,25.44
91726130,Milky Way candy bar,1,1.0,bar (1.9 oz),228.42
91726130,Milky Way candy bar,2,1.0,king size bar (3.6 oz),431.46
91726130,Milky Way candy bar,2,1.0,miniature bar (0.3 oz),35.955
91731010,M&M's candies with peanuts,1,1.0,package (1.67 oz),242.52
91731010,M&M's candies with peanuts,2,0.25,cup,219.3
91731010,M&M's candies with peanuts,2,1.0,fun size package (0.7 oz),123.84
91733000,Peanut brittle,1,1.0,medium piece (0.3 oz),43.56
91733000,Peanut brittle,2,1.0,small piece (0.2 oz),21.78
91733000,Peanut brittle,2,1.0,large piece (0.5 oz),62.92
91734100,Peanut butter cups (Reese's),1,1.0,"package (2 cups, 1.6 oz)",231.75
91734100,Peanut butter cups (Reese's),2,1.0,miniature cup,36.05
91734400,Fast Break candy bar (Reese's),1,1.0,regular size bar,282.15
91745020,Hard candy,2,1.0,"roll (0.9 oz, 12 pieces)",102.44
91745020,Hard candy,1,1.0,ball,31.52
91745020,Hard candy,2,1.0,candy cane,59.1
91745020,Hard candy,2,1.0,fun size package,31.52
91745020,Hard candy,2,1.0,lollipop,82.74
91745020,Hard candy,2,1.0,mint,20.094
91746100,M&M's plain chocolate candies,1,1.0,package (1.7 oz),236.16
91746100,M&M's plain chocolate candies,2,0.25,cup (66 pieces),255.84
91746100,M&M's plain chocolate candies,2,1.0,fun size package (0.7 oz),103.32
91750000,Taffy,1,1.0,piece,37.318
91750000,Taffy,2,1.0,package (8 pieces),162.77
91770020,Dietetic hard candy,1,1.0,Sweet'n Low candy,14.25
91770020,Dietetic hard candy,2,0.25,cup hard candy,185.625
91770020,Dietetic hard candy,2,1.0,lollipop (.5 oz),52.5
91770020,Dietetic hard candy,2,1.0,cough drop,3.75
91770030,Dietetic chocolate-covered candy,1,1.0,section candy bar,40.25
91770030,Dietetic chocolate-covered candy,2,0.25,cup TV Mix,267.375
91770030,Dietetic chocolate-covered candy,2,0.25,cup covered raisins,273.125
91770030,Dietetic chocolate-covered candy,2,1.0,piece Peanut Butter Cups,46.0
91770030,Dietetic chocolate-covered candy,2,1.0,section chocolate wafers,28.75
91770030,Dietetic chocolate-covered candy,2,1.0,section Crunch Bar,34.5
91801000,Chewing gum (made with sugar),1,1.0,piece,9.88
91801000,Chewing gum (made with sugar),2,0.25,6-foot long tape,37.05
91801000,Chewing gum (made with sugar),2,1.0,gum ball,4.94
91802000,Chewing gum (sugar-free),1,1.0,piece,5.36
92101000,Coffee,1,1.0,coffee cup (cup = 6 fl oz),7.08
92101000,Coffee,2,1.0,mug ( mug = 8 fl oz),9.48
92305040,Tea (sweetened),2,1.0,teacup (cup = 6 fl oz),52.5
92305040,Tea (sweetened),2,1.0,mug (mug = 8 fl oz),70.0
92305040,Tea (sweetened),1,12.0,fluid ounces,105.0
92410110,Tonic water (quinine water),1,1.0,can,124.44
92410110,Tonic water (quinine water),2,1.0,cup,82.96
92410210,Club soda (seltzer),1,1.0,can,0.0
92410210,Club soda (seltzer),2,1.0,cup,0.0
92410310,"Soft drink, regular",1,1.0,can,154.98
92410310,"Soft drink, regular",2,1.0,bottle ( bottle = 16 fl oz),206.64
92410310,"Soft drink, regular",2,1.0,small (drink = 16 fl oz),206.64
